1.667,2.062,0.500,1.153
1.667,2.062,0.150,0.000
1.624,2.446,0.500,1.153
1.624,2.446,0.150,0.000
1.490,2.811,0.500,1.153
1.490,2.811,0.150,0.000
1.273,3.136,0.500,1.153
1.273,3.136,0.150,0.000
0.986,3.399,0.500,1.153
0.986,3.399,0.150,0.000
0.648,3.583,0.500,1.153
0.648,3.583,0.150,0.000
0.280,3.679,0.500,1.153
0.280,3.679,0.150,0.000
-0.095,3.679,0.500,1.153
-0.095,3.679,0.150,0.000
-0.454,3.583,0.500,1.153
-0.454,3.583,0.150,0.000
-0.773,3.397,0.500,1.153
-0.773,3.397,0.150,0.000
-1.034,3.134,0.500,1.153
-1.034,3.134,0.150,0.000
-1.218,2.809,0.500,1.153
-1.218,2.809,0.150,0.000
-1.316,2.443,0.500,1.153
-1.316,2.443,0.150,0.000
-1.321,2.060,0.500,1.153
-1.321,2.060,0.150,0.000
-1.232,1.682,0.500,1.153
-1.232,1.682,0.150,0.000
-1.055,1.334,0.500,1.153
-1.055,1.334,0.150,0.000
-0.801,1.038,0.500,1.153
-0.801,1.038,0.150,0.000
-0.486,0.812,0.500,1.153
-0.486,0.812,0.150,0.000
-0.130,0.671,0.500,1.153
-0.130,0.671,0.150,0.000
0.245,0.623,0.500,1.153
0.245,0.623,0.150,0.000
0.614,0.672,0.500,1.153
0.614,0.672,0.150,0.000
0.956,0.813,0.500,1.153
0.956,0.813,0.150,0.000
1.248,1.040,0.500,1.153
1.248,1.040,0.150,0.000
1.473,1.336,0.500,1.153
1.473,1.336,0.150,0.000
1.615,1.684,0.500,1.153
1.615,1.684,0.150,0.000
