-1.803,0.291,0.500,1.269
-1.803,0.291,0.150,0.000
-1.787,1.668,0.500,1.269
-1.787,1.668,0.150,0.000
-1.771,3.046,0.500,1.269
-1.771,3.046,0.150,0.000
-1.755,4.424,0.500,1.269
-1.755,4.424,0.150,0.000
-0.454,0.205,0.500,1.269
-0.454,0.205,0.150,0.000
-0.438,1.583,0.500,1.269
-0.438,1.583,0.150,0.000
-0.422,2.961,0.500,1.269
-0.422,2.961,0.150,0.000
-0.406,4.338,0.500,1.269
-0.406,4.338,0.150,0.000
0.894,0.119,0.500,1.269
0.894,0.119,0.150,0.000
0.910,1.497,0.500,1.269
0.910,1.497,0.150,0.000
0.926,2.875,0.500,1.269
0.926,2.875,0.150,0.000
0.942,4.253,0.500,1.269
0.942,4.253,0.150,0.000
2.243,0.034,0.500,1.269
2.243,0.034,0.150,0.000
2.259,1.411,0.500,1.269
2.259,1.411,0.150,0.000
2.275,2.789,0.500,1.269
2.275,2.789,0.150,0.000
2.291,4.167,0.500,1.269
2.291,4.167,0.150,0.000
