-2.120,0.066,0.030,1.500
-2.120,0.066,0.500,0.000
-1.848,0.037,0.030,1.500
-1.848,0.037,0.500,0.000
-1.576,0.008,0.030,1.500
-1.576,0.008,0.500,0.000
-1.304,-0.021,0.030,1.500
-1.304,-0.021,0.500,0.000
-1.033,-0.050,0.030,1.500
-1.033,-0.050,0.500,0.000
-0.761,-0.079,0.030,1.500
-0.761,-0.079,0.500,0.000
-0.489,-0.107,0.030,1.500
-0.489,-0.107,0.500,0.000
-0.217,-0.136,0.030,1.500
-0.217,-0.136,0.500,0.000
0.055,-0.165,0.030,1.500
0.055,-0.165,0.500,0.000
0.326,-0.194,0.030,1.500
0.326,-0.194,0.500,0.000
0.598,-0.223,0.030,1.500
0.598,-0.223,0.500,0.000
0.870,-0.252,0.030,1.500
0.870,-0.252,0.500,0.000
1.142,-0.281,0.030,1.500
1.142,-0.281,0.500,0.000
1.414,-0.309,0.030,1.500
1.414,-0.309,0.500,0.000
1.686,-0.338,0.030,1.500
1.686,-0.338,0.500,0.000
1.957,-0.367,0.030,1.500
1.957,-0.367,0.500,0.000
1.970,-0.233,0.030,1.500
1.970,-0.233,0.500,0.000
1.995,0.034,0.030,1.500
1.995,0.034,0.500,0.000
2.020,0.301,0.030,1.500
2.020,0.301,0.500,0.000
2.045,0.569,0.030,1.500
2.045,0.569,0.500,0.000
2.070,0.836,0.030,1.500
2.070,0.836,0.500,0.000
2.095,1.103,0.030,1.500
2.095,1.103,0.500,0.000
2.120,1.371,0.030,1.500
2.120,1.371,0.500,0.000
2.145,1.638,0.030,1.500
2.145,1.638,0.500,0.000
2.170,1.905,0.030,1.500
2.170,1.905,0.500,0.000
2.195,2.173,0.030,1.500
2.195,2.173,0.500,0.000
2.220,2.440,0.030,1.500
2.220,2.440,0.500,0.000
2.245,2.708,0.030,1.500
2.245,2.708,0.500,0.000
2.270,2.975,0.030,1.500
2.270,2.975,0.500,0.000
2.295,3.242,0.030,1.500
2.295,3.242,0.500,0.000
2.320,3.510,0.030,1.500
2.320,3.510,0.500,0.000
2.346,3.777,0.030,1.500
2.346,3.777,0.500,0.000
2.210,3.791,0.030,1.500
2.210,3.791,0.500,0.000
1.938,3.820,0.030,1.500
1.938,3.820,0.500,0.000
1.666,3.849,0.030,1.500
1.666,3.849,0.500,0.000
1.394,3.878,0.030,1.500
1.394,3.878,0.500,0.000
1.122,3.907,0.030,1.500
1.122,3.907,0.500,0.000
0.850,3.936,0.030,1.500
0.850,3.936,0.500,0.000
0.579,3.964,0.030,1.500
0.579,3.964,0.500,0.000
0.307,3.993,0.030,1.500
0.307,3.993,0.500,0.000
0.035,4.022,0.030,1.500
0.035,4.022,0.500,0.000
-0.237,4.051,0.030,1.500
-0.237,4.051,0.500,0.000
-0.509,4.080,0.030,1.500
-0.509,4.080,0.500,0.000
-0.780,4.109,0.030,1.500
-0.780,4.109,0.500,0.000
-1.052,4.137,0.030,1.500
-1.052,4.137,0.500,0.000
-1.324,4.166,0.030,1.500
-1.324,4.166,0.500,0.000
-1.596,4.195,0.030,1.500
-1.596,4.195,0.500,0.000
-1.868,4.224,0.030,1.500
-1.868,4.224,0.500,0.000
-1.880,4.090,0.030,1.500
-1.880,4.090,0.500,0.000
-1.905,3.823,0.030,1.500
-1.905,3.823,0.500,0.000
-1.930,3.556,0.030,1.500
-1.930,3.556,0.500,0.000
-1.955,3.288,0.030,1.500
-1.955,3.288,0.500,0.000
-1.980,3.021,0.030,1.500
-1.980,3.021,0.500,0.000
-2.005,2.754,0.030,1.500
-2.005,2.754,0.500,0.000
-2.030,2.486,0.030,1.500
-2.030,2.486,0.500,0.000
-2.056,2.219,0.030,1.500
-2.056,2.219,0.500,0.000
-2.081,1.951,0.030,1.500
-2.081,1.951,0.500,0.000
-2.106,1.684,0.030,1.500
-2.106,1.684,0.500,0.000
-2.131,1.417,0.030,1.500
-2.131,1.417,0.500,0.000
-2.156,1.149,0.030,1.500
-2.156,1.149,0.500,0.000
-2.181,0.882,0.030,1.500
-2.181,0.882,0.500,0.000
-2.206,0.615,0.030,1.500
-2.206,0.615,0.500,0.000
-2.231,0.347,0.030,1.500
-2.231,0.347,0.500,0.000
-2.256,0.080,0.030,1.500
-2.256,0.080,0.500,0.000
